size,DPUs,time(s),rate(MB/s)
13888,217,0.142715,97312.8
13952,218,0.142782,97715.4
14016,219,0.142756,98181.5
14080,220,0.142765,98623.6
14144,221,0.142739,99089.9
14208,222,0.142745,99534.1
14272,223,0.142756,99974.8
14336,224,0.142782,100405
14400,225,0.14274,100883
14464,226,0.142797,101291
14528,227,0.142718,101795
14592,228,0.142743,102226
14656,229,0.142742,102675
14720,230,0.142763,103108
14784,231,0.14273,103580
14848,232,0.142761,104006
14912,233,0.142757,104457
14976,234,0.142748,104912
15040,235,0.142732,105372
15104,236,0.142733,105820
15168,237,0.142752,106254
15232,238,0.142763,106694
15296,239,0.142749,107153
15360,240,0.142774,107583
15424,241,0.142715,108076
15488,242,0.142745,108501
15552,243,0.142715,108972
15616,244,0.142752,109393
15680,245,0.142752,109841
15744,246,0.142767,110278
15808,247,0.142762,110730
15872,248,0.142738,111197
15936,249,0.142715,111663
16000,250,0.142738,112093
16064,251,0.142757,112527
16128,252,0.142759,112974
16192,253,0.142749,113430
16256,254,0.142755,113873
16320,255,0.14271,114358
16384,256,0.142744,114779
16448,257,0.142715,115251
16512,258,0.142713,115701
16576,259,0.142713,116149
16640,260,0.142752,116566
16704,261,0.142718,117042
16768,262,0.142737,117475
16832,263,0.142719,117938
16896,264,0.142722,118384
16960,265,0.142716,118837
17024,266,0.142713,119288
17088,267,0.142704,119744
17152,268,0.142703,120194
17216,269,0.142724,120624
17280,270,0.1427,121093
17344,271,0.142705,121537
17408,272,0.142711,121981
17472,273,0.142731,122412
17536,274,0.142727,122864
17600,275,0.14274,123301
17664,276,0.142742,123748
17728,277,0.142737,124200
17792,278,0.142697,124684
17856,279,0.142713,125118
17920,280,0.142735,125547
17984,281,0.142707,126020
18048,282,0.142727,126451
18112,283,0.142737,126891
18176,284,0.142735,127341
18240,285,0.142732,127792
18304,286,0.14273,128242
18368,287,0.142735,128686
18432,288,0.142731,129138
18496,289,0.142732,129586
18560,290,0.142715,130049
18624,291,0.142713,130500
18688,292,0.142733,130930
18752,293,0.142718,131392
18816,294,0.142727,131832
18880,295,0.142722,132285
18944,296,0.142728,132728
19008,297,0.142728,133176
19072,298,0.142704,133647
19136,299,0.142726,134075
19200,300,0.142721,134528
19264,301,0.1427,134996
19328,302,0.142705,135440
19392,303,0.142718,135876
19456,304,0.142734,136309
19520,305,0.142697,136793
19584,306,0.142699,137240
19648,307,0.142719,137669
