version,parallelism,time
host-AES-NI,8192,1.66
host-AES-NI,16384,2.52
host-AES-NI,32768,4.04
host-AES-NI,65536,4.48
host-AES-NI,131072,6.28
host-AES-NI,262144,5.14
host-AES-NI,524288,4.79
host-AES-NI,1048576,3.86
host-AES-NI,2097152,3.55
host-AES-NI,4194304,6.19
host-AES-NI,8388608,8.14
host-AES-NI,16777216,10.33
host-AES-NI,33554432,12.84
host-AES-NI,67108864,14.79
host-AES-NI,134217728,15.78
host-AES-NI,268435456,16.27
host-AES-NI,536870912,16.1328237677245
host-AES-NI,1073741824,15.9189018122661
host-AES-NI,2147483648,16.0846272218915
host-AES-NI,4294967296,16.0067170033997
host-AES-NI,8589934592,16.3345253349652
host-AES-NI,17179869184,16.4515433843764
host-AES-NI,34359738368,16.209490804783
dpus=64,8192,0.003783265528232
dpus=64,16384,0.014228033070563
dpus=64,32768,0.029923069237686
dpus=64,65536,0.064137823672876
dpus=64,131072,0.114496943272831
dpus=64,262144,0.233666778346815
dpus=64,524288,0.301429372197309
dpus=64,1048576,0.344293766849114
dpus=64,2097152,0.491687099049474
dpus=64,4194304,0.646008730901154
dpus=64,8388608,0.951187821196548
dpus=64,16777216,1.29853650179878
dpus=64,33554432,1.32910996402315
dpus=64,67108864,1.52028689107816
dpus=64,134217728,1.62271241136257
dpus=64,268435456,1.69638534349131
dpus=64,536870912,1.66930613933107
dpus=64,1073741824,1.70551887823441
dpus=64,2147483648,1.7089713450664
dpus=64,4294967296,1.69350688877222
dpus=128,8192,0.002726678494724
dpus=128,16384,0.009895363220005
dpus=128,32768,0.019210416599853
dpus=128,65536,0.040687339522023
dpus=128,131072,0.08064085447263
dpus=128,262144,0.152243739670066
dpus=128,524288,0.200260683362815
dpus=128,1048576,0.265112914386362
dpus=128,2097152,0.40634541719869
dpus=128,4194304,0.614549859099224
dpus=128,8388608,0.994948982696716
dpus=128,16777216,1.62234180795279
dpus=128,33554432,1.90434180232677
dpus=128,67108864,2.43607033728801
dpus=128,134217728,2.71530072116239
dpus=128,268435456,3.00161646734775
dpus=128,536870912,2.97137555714741
dpus=128,1073741824,3.08466641663964
dpus=128,2147483648,3.12806891953358
dpus=128,4294967296,3.13267737460777
dpus=128,8589934592,3.18566325992351
dpus=192,8192,0.002327991708523
dpus=192,16384,0.007350384901912
dpus=192,32768,0.014562870757561
dpus=192,65536,0.02891769219971
dpus=192,131072,0.058306786369341
dpus=192,262144,0.119469459671104
dpus=192,524288,0.151216197216103
dpus=192,1048576,0.191207494952703
dpus=192,2097152,0.302746411879059
dpus=192,4194304,0.515959654657148
dpus=192,8388608,0.845917698596116
dpus=192,16777216,1.61464023249091
dpus=192,33554432,2.04467049494121
dpus=192,67108864,2.92911251596124
dpus=192,134217728,3.55606526563598
dpus=192,268435456,4.05806427859493
dpus=192,536870912,4.19261005185682
dpus=192,1073741824,4.40396879951955
dpus=192,2147483648,4.41093671421179
dpus=192,4294967296,4.40912628926914
dpus=192,8589934592,4.48812509289536
dpus=256,8192,0.00190431470757
dpus=256,16384,0.005764249965921
dpus=256,32768,0.011549659680312
dpus=256,65536,0.023904844792573
dpus=256,131072,0.049063807318955
dpus=256,262144,0.090870172173104
dpus=256,524288,0.147567975485376
dpus=256,1048576,0.157195874750564
dpus=256,2097152,0.265151240717261
dpus=256,4194304,0.413832709113608
dpus=256,8388608,0.768632859023381
dpus=256,16777216,1.4753708621241
dpus=256,33554432,1.92382265766508
dpus=256,67108864,2.73604027484066
dpus=256,134217728,3.78564848292736
dpus=256,268435456,4.46385427153123
dpus=256,536870912,4.74272533824557
dpus=256,1073741824,5.156975335316
dpus=256,2147483648,5.25590448606329
dpus=256,4294967296,5.30600537921224
dpus=256,8589934592,5.42745227337577
dpus=256,17179869184,5.44259690140845
dpus=320,8192,0.001734419919694
dpus=320,16384,0.004612388001558
dpus=320,32768,0.009805686971041
dpus=320,65536,0.02078638458175
dpus=320,131072,0.038844317250028
dpus=320,262144,0.079284136676627
dpus=320,524288,0.105788619485565
